EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/file/mysys/charset	3	9.5828	3.1943
wait/synch/mutex/innodb/page_cleaner_mutex	11774	2.8727	0.0002
wait/synch/sxlock/innodb/trx_purge_latch	11877	2.2853	0.0002
wait/io/file/sql/casetest	10	0.1970	0.0197
wait/synch/mutex/innodb/row_drop_list_mutex	701	0.1428	0.0002
wait/io/file/mysys/cnf	5	0.1140	0.0228
wait/synch/mutex/innodb/ibuf_mutex	586	0.0894	0.0002
wait/synch/mutex/innodb/innobase_share_mutex	333	0.0892	0.0003
wait/synch/sxlock/innodb/dict_table_stats	176	0.0849	0.0005
wait/io/file/sql/pid	3	0.0477	0.0159
wait/synch/mutex/innodb/file_format_max_mutex	328	0.0444	0.0001
wait/synch/mutex/innodb/trx_pool_manager_mutex	168	0.0319	0.0002
wait/synch/mutex/innodb/recalc_pool_mutex	78	0.0139	0.0002
wait/io/file/sql/global_ddl_log	2	0.0109	0.0054
wait/synch/mutex/innodb/recv_sys_mutex	174	0.0092	0.0001
wait/synch/mutex/innodb/thread_mutex	32	0.0029	0.0001
wait/synch/mutex/innodb/recv_writer_mutex	3	0.0005	0.0002
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	12	0.0004	0.0000
wait/synch/mutex/innodb/autoinc_mutex	1	0.0000	0.0000
EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/table/sql/handler	161582638	8946087.9454	0.0554
wait/io/file/innodb/innodb_data_file	18824156	3943411.5361	0.2095
wait/synch/sxlock/innodb/btr_search_latch	111260270	1511559.2635	0.0136
wait/synch/sxlock/innodb/hash_table_locks	994971108	120989.9339	0.0001
wait/synch/mutex/innodb/lock_mutex	170565339	88223.2903	0.0005
wait/synch/sxlock/innodb/index_tree_rw_lock	138876849	80142.3711	0.0006
wait/lock/table/sql/handler	86868406	72624.6116	0.0008
wait/synch/mutex/innodb/log_sys_mutex	125972491	54419.0705	0.0004
wait/synch/mutex/innodb/buf_pool_mutex	142014703	48582.0109	0.0003
wait/synch/mutex/innodb/fil_system_mutex	175241631	37830.7190	0.0002
wait/io/file/innodb/innodb_log_file	26837	36735.1086	1.3688
wait/synch/mutex/innodb/trx_mutex	887789748	33175.8787	0.0000
wait/synch/mutex/innodb/trx_sys_mutex	80678510	20309.3113	0.0003
wait/synch/sxlock/innodb/fil_space_latch	3247052	12340.9863	0.0038
wait/synch/sxlock/innodb/dict_operation_lock	59389336	5631.5797	0.0001
wait/synch/mutex/innodb/log_sys_write_mutex	376603	4730.1254	0.0126
wait/synch/mutex/innodb/sync_array_mutex	12289225	4208.3984	0.0003
wait/synch/mutex/innodb/redo_rseg_mutex	16958071	3476.2125	0.0002
wait/synch/mutex/innodb/buf_dblwr_mutex	2682210	2555.2029	0.0010
wait/synch/mutex/innodb/flush_list_mutex	18641936	1967.0945	0.0001
wait/synch/mutex/innodb/log_flush_order_mutex	12472490	1956.2517	0.0002
wait/synch/mutex/innodb/trx_undo_mutex	42570959	1804.6591	0.0000
wait/synch/mutex/innodb/trx_pool_mutex	300	1276.4063	4.2547
wait/synch/mutex/innodb/nvdimm_static_region_mutex	8948287	723.6141	0.0001
wait/synch/mutex/innodb/dict_sys_mutex	1501700	710.6643	0.0005
wait/synch/sxlock/innodb/checkpoint_lock	168	522.1045	3.1078
wait/synch/mutex/innodb/srv_sys_mutex	2306683	170.3710	0.0001
wait/synch/mutex/innodb/nvdimm_dynamic_region_mutex	1991369	130.0436	0.0001
wait/synch/mutex/innodb/lock_wait_mutex	44551	121.2953	0.0027
wait/synch/mutex/innodb/rw_lock_list_mutex	2097391	42.1598	0.0000
wait/io/file/sql/ERRMSG	5	38.5050	7.7010
wait/io/file/sql/dbopt	188	31.3050	0.1665
wait/synch/mutex/innodb/purge_sys_pq_mutex	267572	26.5095	0.0001
wait/synch/mutex/innodb/ibuf_bitmap_mutex	178564	22.8356	0.0001
wait/io/file/sql/FRM	1365	15.8159	0.0116
wait/io/file/mysys/charset	3	9.5828	3.1943
wait/synch/mutex/innodb/page_cleaner_mutex	11943	2.9280	0.0002
wait/synch/sxlock/innodb/trx_purge_latch	12064	2.3137	0.0002
wait/io/file/sql/casetest	10	0.1970	0.0197
wait/synch/mutex/innodb/row_drop_list_mutex	711	0.1444	0.0002
wait/io/file/mysys/cnf	5	0.1140	0.0228
wait/synch/mutex/innodb/ibuf_mutex	596	0.0912	0.0002
wait/synch/mutex/innodb/innobase_share_mutex	333	0.0892	0.0003
wait/synch/sxlock/innodb/dict_table_stats	176	0.0849	0.0005
wait/io/file/sql/pid	3	0.0477	0.0159
